[0518/201303.753:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0519/005319.510:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/072628.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/080511.283:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/205406.884:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/222012.127:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0520/080133.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0520/085011.545:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/001133.353:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/075015.188:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/084716.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0521/223240.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/021104.914:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/173207.984:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/225829.881:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0522/225924.534:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0523/155851.809:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0523/221335.527:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0524/075407.666:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0524/082045.808:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0524/175352.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0525/225445.806:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0526/080320.695:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0526/224828.525:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0527/135626.916:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0527/230315.861:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0528/073016.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0530/165340.662:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0530/211912.836:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0602/214507.067:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0603/081824.436:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0603/183517.337:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0603/213140.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0710/131829.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0710/145025.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0710/172725.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0710/201939.239:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0710/201944.246:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0711/003337.648:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0711/011926.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0711/094644.314:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0711/172123.148:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/182054.847:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0215/135808.800:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
